
A T O M   T Y P E S

IDX	TYPE	RING
1	C_3	NO
2	C_3	NO
3	C_3	NO
4	S_3+2	NO
5	C_2	NO
6	O_2	NO
7	N_2	AL
8	C_3	AL
9	C_3	AL
10	C_3	AL
11	C_3	AL
12	C_2	NO
13	O_2	NO
14	O_2	NO
15	H_	NO
16	H_	NO
17	H_	NO
18	H_	NO
19	H_	NO
20	H_	NO
21	H_	NO
22	H_	NO
23	H_	NO
24	H_	NO
25	H_	NO
26	H_	NO
27	H_	NO
28	H_	NO
29	H_	NO

S E T T I N G   U P   C A L C U L A T I O N S

SETTING UP BOND CALCULATIONS...
SETTING UP ANGLE CALCULATIONS...
SETTING UP TORSION CALCULATIONS...
SETTING UP OOP CALCULATIONS...
SETTING UP VAN DER WAALS CALCULATIONS...

S T E E P E S T   D E S C E N T

STEPS = 10000

STEP n       E(n)         E(n-1)    
------------------------------------
    0     999.055      ----
   10    370.95794    374.93217
   20    347.88130    349.40176
   30    336.83168    337.70164
   40    329.75587    330.36105
   50    324.56151    325.02205
   60    320.51636    320.88030
   70    317.28915    317.58129
   80    314.68633    314.92283
   90    312.57095    312.76393
  100    310.83620    310.99532
  110    309.39601    309.52908
  120    308.18087    308.29418
  130    307.13497    307.23355
  140    306.21380    306.30166
  150    305.38188    305.46222
  160    304.61073    304.68614
  170    303.87701    303.94965
  180    303.16095    303.23269
  190    302.44489    302.51744
  200    301.71197    301.78703
  210    300.94481    301.02420
  220    300.12404    300.20987
  230    299.22641    299.32129
  240    298.22221    298.32957
  250    297.07110    297.19574
  260    295.71504    295.86409
  270    294.06476    294.24962
  280    291.97003    292.21105
  290    289.13900    289.47988
  300    285.13446    285.39416
  310    284.55281    284.59146
  320    284.16741    284.20709
  330    283.76268    283.80523
  340    283.31731    283.36531
  350    282.79826    282.85601
  360    282.14548    282.22143
  370    281.22585    281.34086
  380    279.63004    279.86204
  390    277.08251    277.10160
  400    276.89528    276.91492
  410    276.68949    276.71197
  420    276.44077    276.46935
  430    276.10052    276.14247
  440    275.53716    275.61541
  450    274.13835    274.39943
  460    271.89065    271.90293
  470    271.77219    271.78436
  480    271.64785    271.66126
  490    271.50151    271.51824
  500    271.30297    271.32751
  510    270.97042    271.01711
  520    270.11397    270.27631
  530    268.38213    268.39168
  540    268.29035    268.29978
  550    268.19391    268.20435
  560    268.07920    268.09243
  570    267.91998    267.93997
  580    267.64069    267.68111
  590    266.82432    266.99373
  600    264.97955    264.98740
  610    264.90369    264.91151
  620    264.82346    264.83216
  630    264.72769    264.73874
  640    264.59475    264.61140
  650    264.36319    264.39646
  660    263.71080    263.84168
  670    262.05045    262.05845
  680    261.97774    261.98488
  690    261.90874    261.91583
  700    261.83631    261.84411
  710    261.75150    261.76114
  720    261.63808    261.65194
  730    261.45466    261.47973
  740    261.03243    261.10532
  750    258.97532    259.00760
  760    258.90888    258.91602
  770    258.83119    258.84001
  780    258.72781    258.74038
  790    258.56317    258.58542
  800    258.19895    258.26013
  810    257.17538    257.18512
  820    257.11976    257.12530
  830    257.06502    257.07074
  840    257.00527    257.01181
  850    256.93241    256.94087
  860    256.82996    256.84283
  870    256.65052    256.67633
  880    256.14344    256.24593
  890    255.18120    255.18555
  900    255.13566    255.14068
  910    255.07908    255.08574
  920    254.99605    255.00680
  930    254.83572    254.86045
  940    254.17100    254.35492
  950    253.25049    253.25324
  960    253.21920    253.22297
  970    253.16982    253.17661
  980    253.05006    253.07206
  990    252.91981    252.92183
 1000    252.89954    252.90174
 1010    252.87496    252.87789
 1020    252.83716    252.84232
 1030    252.74762    252.76389
 1040    251.83873    251.84102
 1050    251.82780    251.82913
 1060    251.80526    251.80922
 1070    251.79211    251.79311
 1080    251.77738    251.77977
 1090    251.74465    251.74532
 1100    251.73792    251.73869
 1110    251.72779    251.72927
 1120    251.68944    251.69995
 1130    251.25893    251.25905
 1140    251.25517    251.25523
 1150    251.25267    251.25269
 1160    251.25083    251.25100
 1170    251.24693    251.24705
 1180    251.24657    251.24661
 1190    251.24344    251.24348
 1200    251.24278    251.24297
    STEEPEST DESCENT HAS CONVERGED
1 molecule converted
